Timestamp,Open,High,Low,change,Volume (BTC),Volume (Currency),Weighted Price
2021-3-12 0:00,57847.92,57939.99,57847.92,57762.29408,1.12,64996.08,57882.83
2021-3-12 0:01,57979,58006.73,57917.12,57748.86122,1.03,59913.26,57943.53
2021-3-12 0:02,57999.6,58020.66,57934.72,57735.42928,1.29,74751.72,57959.98
2021-3-12 0:03,58021.54,58098.5,58004.4,57722.00048,3.24,188000.69,58057.13
2021-3-12 0:04,57980.53,57980.53,57874.71,57708.5786,0.38,21762.92,57921.07
2021-3-12 0:05,57962.15,57984.72,57701.51,57695.16971,5.03,290978.37,57844.38
2021-3-12 0:06,57739.33,57810,57738.11,57681.78173,17.08,986416.3,57760.32
2021-3-12 0:07,57753.92,57786,57721.91,57668.42297,7.06,407946.82,57764.89
2021-3-12 0:08,57740.55,57740.55,57550.01,57655.10248,2.45,141362.3,57619.99
2021-3-12 0:09,57590.88,57670.54,57452.77,57641.83007,2.49,143380.03,57570.79
2021-3-12 0:10,57616.41,57705.28,57603.6,57628.61503,2.19,126061.55,57655.86
2021-3-12 0:11,57725.64,57725.64,57668.49,57615.4669,0.37,21104.15,57693.25
2021-3-12 0:12,57679.27,57727.83,57678.73,57602.39547,1.06,61001.14,57708.32
2021-3-12 0:13,57689.95,57742.15,57670.01,57589.41092,0.41,23437.36,57694.16
2021-3-12 0:14,57701.63,57800,57701.63,57576.52409,2.97,171528,57773.37
2021-3-12 0:15,57774.54,57864.54,57770,57563.74665,1.65,95143,57809.9
2021-3-12 0:16,57864.54,57914.91,57852.82,57551.09176,1.42,81998.7,57863.19
2021-3-12 0:17,57787.52,57787.52,57735.09,57538.57462,0.74,42865.09,57737.21
2021-3-12 0:18,57677.64,57694.87,57619.11,57526.21272,1.89,108735.28,57673.1
2021-3-12 0:19,57711.02,57769.09,57707.43,57514.02513,1.09,63066.76,57722.71
2021-3-12 0:20,57663.72,57667.9,57554.27,57502.03222,0.46,26504.39,57627.07
2021-3-12 0:21,57608.25,57655.68,57559.55,57490.25594,0.88,50555.36,57590.35
2021-3-12 0:22,57520,57520,57297.27,57478.71861,5.91,339048.94,57357.28
2021-3-12 0:23,57339.82,57459.76,56955.92,57467.44312,31.1,1776504.64,57129.56
2021-3-12 0:24,57363.15,57451.07,57354.33,57456.45108,6.4,367133.24,57393.1
2021-3-12 0:25,57417.27,57417.27,57160,57445.76333,18.52,1060606.52,57282.47
2021-3-12 0:26,57176.46,57251.74,57162.34,57435.39993,5.66,323560.1,57200.83
2021-3-12 0:27,57239.24,57353.69,57239.24,57425.37888,1.22,69914.4,57271.67
2021-3-12 0:28,57273.27,57273.27,57141.28,57415.71644,2.8,159956.69,57177.17
2021-3-12 0:29,57161.63,57161.63,57030.47,57406.42834,3.92,223764.32,57090.94
2021-3-12 0:30,57076.8,57279,57076.8,57397.52838,3.5,200065.39,57214.89
2021-3-12 0:31,57213.68,57282.69,57133.96,57389.02767,3.45,197613.94,57208.14
2021-3-12 0:32,57148.12,57216.8,57148.11,57380.93615,0.43,24845.45,57179.77
2021-3-12 0:33,57136.29,57211.16,57126.08,57373.26187,0.39,22546.57,57152.43
2021-3-12 0:34,57187.06,57187.06,57084.82,57366.01133,0.58,33312.74,57107.62
2021-3-12 0:35,57123.75,57178.87,57104.42,57359.18964,1.82,104177.99,57132.83
2021-3-12 0:36,57187.99,57187.99,57117.54,57352.79975,0.24,13842.69,57161.1
2021-3-12 0:37,57171.56,57177.81,57121.39,57346.84292,0.46,26411.41,57150.96
2021-3-12 0:38,57082.11,57082.11,56825.63,57341.31878,17.85,1016581.79,56952.65
2021-3-12 0:39,56823.86,56901.97,56772.82,57336.22524,1.12,63956.23,56864.4
2021-3-12 0:40,56829.98,56914.19,56828.15,57331.55689,2.45,139413.42,56841.19
2021-3-12 0:41,56914.24,57007.32,56887.35,57327.30437,2.39,136174.16,56985.8
2021-3-12 0:42,56959.73,56959.73,56817.74,57323.45506,5.37,305324.42,56903.82
2021-3-12 0:43,56936.97,56991.63,56899.91,57319.9938,2.44,138944.85,56960.72
2021-3-12 0:44,56955.9,57035.19,56955.9,57316.90227,1.02,57874.36,56992.99
2021-3-12 0:45,57000,57048.55,56968.99,57314.15934,1.13,64193.54,57014.86
2021-3-12 0:46,57079,57184.31,57079,57311.74158,0.19,10943.55,57113.09
2021-3-12 0:47,57164.77,57190.13,57130.11,57309.62348,0.43,24536.03,57145.51
2021-3-12 0:48,57203.99,57248.14,57166.21,57307.77856,1.54,88220.64,57211.11
2021-3-12 0:49,57238.89,57276.57,57211.93,57306.17942,0.94,53923.76,57244.87
2021-3-12 0:50,57256.67,57332.53,57247.43,57304.79812,4.08,233750.06,57295
2021-3-12 0:51,57319.42,57394,57290.39,57303.60649,3.08,176269.56,57312.13
2021-3-12 0:52,57336.54,57362.6,57239.16,57302.57649,2.96,169477.57,57296.31
2021-3-12 0:53,57317.74,57350.52,57298.83,57301.68053,3.39,194563.11,57327.46
2021-3-12 0:54,57338.61,57456.84,57338.61,57300.89069,3.75,215272.03,57403.97
2021-3-12 0:55,57467.37,57476.47,57365.44,57300.17943,4.57,262583.16,57408.59
2021-3-12 0:56,57443.4,57482.53,57414.03,57299.52036,3.08,176994.92,57446.9
2021-3-12 0:57,57470.41,57478.08,57417.68,57298.88811,1.47,84578.18,57454.46
2021-3-12 0:58,57477.78,57542.93,57464.48,57298.25872,1.13,65175,57491.69
2021-3-12 0:59,57378.26,57400.46,57339.13,57297.60959,1.45,83111.35,57367.29
2021-3-12 1:00,57386.74,57389.19,57204.26,57296.91943,2.25,128860.2,57225.41
2021-3-12 1:01,57267.52,57344.35,57267.52,57296.16739,4.14,237202.58,57303.95
2021-3-12 1:02,57304.72,57304.72,57231.15,57295.33224,3.35,191825.74,57256.02
2021-3-12 1:03,57275.02,57296.26,57256.96,57294.39284,2.14,122830.74,57277.64
2021-3-12 1:04,57285.69,57370.51,57285.19,57293.32788,3.08,176716.13,57336.7
2021-3-12 1:05,57397.73,57451.59,57397.73,57292.11603,2.16,123852.98,57414.48
2021-3-12 1:06,57471,57509.67,57471,57290.73659,1.33,76602.08,57496.78
2021-3-12 1:07,57503.39,57503.39,57434.77,57289.17007,1.36,78456.7,57481.67
2021-3-12 1:08,57476.83,57524.43,57466.07,57287.39868,3.7,212729.27,57489.97
2021-3-12 1:09,57484.25,57490.37,57484.25,57285.40596,0.04,2197.17,57487.5
2021-3-12 1:10,57496.67,57541.57,57491.22,57283.17697,3.2,184102.09,57509.66
2021-3-12 1:11,57540.99,57604.37,57503.97,57280.69834,5.33,307084.5,57568.94
2021-3-12 1:12,57605.78,57644.81,57590.37,57277.9587,3.59,207119.19,57615.39
2021-3-12 1:13,57610.77,57619.05,57562.07,57274.94915,4.18,240731.16,57602.54
2021-3-12 1:14,57567.17,57597.97,57557.27,57271.66338,2.83,162796.88,57570.11
2021-3-12 1:15,57558.18,57558.23,57492.32,57268.09731,0.47,27238.71,57519.39
2021-3-12 1:16,57549.8,57550.08,57479.59,57264.24926,0.17,9660.18,57515.07
2021-3-12 1:17,57489.3,57496.51,57461.89,57260.11948,2.94,169108.14,57475.24
2021-3-12 1:18,57386.69,57442.92,57379.28,57255.71005,1.49,85594.53,57391.46
2021-3-12 1:19,57437.35,57467.21,57358.12,57251.02471,4.18,240137.03,57409.1
2021-3-12 1:20,57361.32,57423.57,57349.04,57246.06857,2.71,155633.43,57393.93
2021-3-12 1:21,57381.01,57381.01,57237.18,57240.84763,2.58,147997,57287.49
2021-3-12 1:22,57271.84,57290.66,57229.55,57235.36896,1.52,86873.53,57255.65
2021-3-12 1:23,57220,57326.59,57168.34,57229.63985,3.3,188776.86,57242.39
2021-3-12 1:24,57302.32,57313.53,57259.63,57223.66754,2.24,128282.49,57297.2
2021-3-12 1:25,57283.63,57290.69,57233.29,57217.46,3.86,221076.16,57276.95
2021-3-12 1:26,57234.92,57318.64,57234.92,57211.02586,3.29,188223.18,57270.35
2021-3-12 1:27,57323.03,57392.24,57323.03,57204.37387,2.53,145335.48,57348.26
2021-3-12 1:28,57351.44,57369.73,57318.71,57197.51362,1.87,107069.43,57348
2021-3-12 1:29,57318.71,57430.72,57318.71,57190.45612,1.8,103474.39,57386.18
2021-3-12 1:30,57393.4,57394.98,57324.01,57183.21335,2.16,123919.02,57358.71
2021-3-12 1:31,57386.23,57437.66,57386.23,57175.79913,1.9,109277.09,57420.6
2021-3-12 1:32,57437.66,57475.62,57424.89,57168.2289,1.39,79681.71,57453.95
2021-3-12 1:33,57426.12,57434.26,57352.65,57160.52013,2.47,141916.39,57379.28
2021-3-12 1:34,57336.98,57336.98,57227.59,57152.69237,1.27,72915.2,57260.68
2021-3-12 1:35,57205.81,57229.97,57040,57144.7666,1.56,88877.37,57140.53
2021-3-12 1:36,57056.65,57056.65,56880,57136.76442,0.66,37475.89,56961.35
2021-3-12 1:37,56911.77,57041.42,56891.06,57128.7066,0.88,49974.54,56975.51
2021-3-12 1:38,57050.32,57050.32,56992.9,57120.61194,1.36,77518.93,57024.81
2021-3-12 1:39,57042.99,57129.06,57008.73,57112.49851,3.13,178916.66,57087.1
2021-3-12 1:40,57092.11,57092.11,56991.34,57104.38366,5.79,330377.24,57050.16
2021-3-12 1:41,56986.83,57024.85,56943.37,57096.28461,5.02,286315.41,56986.91
2021-3-12 1:42,56939.59,56956.16,56875.19,57088.2177,2.82,160777.95,56919.28
2021-3-12 1:43,56952.21,56986.2,56908.07,57080.1981,4.31,245427.21,56941.69
2021-3-12 1:44,56982.34,56986.62,56908.31,57072.2398,2.58,146961.81,56944.88
2021-3-12 1:45,56929.2,57021.38,56916.06,57064.35582,5.91,336974.29,56988.62
2021-3-12 1:46,56912.05,56992.55,56912.05,57056.5581,3.37,192191.94,56958.73
2021-3-12 1:47,56977.11,57000.95,56977.11,57048.85744,2.27,129561.1,56990.66
2021-3-12 1:48,57014.77,57029.03,57009.31,57041.26399,1.55,88157.75,57011.03
2021-3-12 1:49,56992.66,56992.66,56992.65,57033.78753,1.21,68949.71,56992.65
2021-3-12 1:50,57021.07,57048.14,57003.43,57026.43776,2.15,122683.85,57013.6
2021-3-12 1:51,57025.83,57099.84,57025.83,57019.22405,1.4,79814.37,57033.43
2021-3-12 1:52,57063.97,57171.09,57063.97,57012.15575,1.08,61661.85,57139.49
2021-3-12 1:53,57131.16,57176.56,57062.83,57005.24265,0.92,52610.3,57146.6
2021-3-12 1:54,57048.45,57075.77,57039.92,56998.49566,2.1,119548.07,57054.12
2021-3-12 1:55,57060.71,57088.37,56843.84,56991.92613,5.33,303895.66,57003.51
2021-3-12 1:56,56879.32,56879.32,56632.38,56985.54598,21.43,1214746.44,56680.77
2021-3-12 1:57,56751.94,56868,56747.7,56979.36605,5.26,298626.38,56797.58
2021-3-12 1:58,56740.5,56879,56740.5,56973.39537,8.58,487382.39,56771.89
2021-3-12 1:59,56869.49,56892.99,56839.11,56967.64121,1.62,92175.92,56864.21
2021-3-12 2:00,56874.91,56883.15,56772.06,56962.10999,2.99,170224.81,56837.28
2021-3-12 2:01,56803.15,56832.22,56776.75,56956.80741,1.62,91756.63,56807.92
2021-3-12 2:02,56798.89,56837.41,56727.04,56951.73794,3.16,179543.83,56781.44
2021-3-12 2:03,56795.1,56815.48,56747.96,56946.90476,2.89,164371.3,56780.63
2021-3-12 2:04,56825.18,56855.84,56794.54,56942.3102,2.86,162788.88,56827.48
2021-3-12 2:05,56874.02,56929.33,56874.02,56937.95553,3.14,178585.72,56907.88
2021-3-12 2:06,56930.84,57000,56923.51,56933.84131,1.66,94823.48,56952.61
2021-3-12 2:07,56980.31,57020.99,56974.24,56929.96789,15.2,866132.79,56998.76
2021-3-12 2:08,56990.47,57042.74,56990.47,56926.33593,2.23,127232.67,57012.02
2021-3-12 2:09,57022.67,57022.67,56927.51,56922.94657,0.68,38615.91,56986.58
2021-3-12 2:10,56957.01,56996.95,56910.46,56919.80172,5.02,285788.2,56966.44
2021-3-12 2:11,56909.21,56935.74,56880.71,56916.90328,1.39,78994.43,56902.79
2021-3-12 2:12,56852.28,56860.2,56829.56,56914.25311,0.99,56478.21,56834.64
2021-3-12 2:13,56841.43,56841.43,56770.1,56911.85286,1.54,87283.09,56793.88
2021-3-12 2:14,56762.43,56772.66,56705.86,56909.70357,2.27,128768.16,56731.35
2021-3-12 2:15,56777.45,56812,56756.32,56907.80519,10.73,609491.69,56780.03
2021-3-12 2:16,56789.43,56874.11,56783.48,56906.15664,6.1,347026,56849.7
2021-3-12 2:17,56845.37,56868.88,56801,56904.75596,2.07,117843.55,56839.26
2021-3-12 2:18,56871.15,56900.53,56853.88,56903.60071,1.98,112741.73,56876.58
2021-3-12 2:19,56900,56900,56765.51,56902.68821,3.88,220474.41,56844.06
2021-3-12 2:20,56848.1,56876.5,56827.84,56902.01569,0.7,40065.1,56851.43
2021-3-12 2:21,56844.67,56873.83,56832.98,56901.57935,0.45,25848.92,56855.35
2021-3-12 2:22,56868.77,56930.65,56865.4,56901.37492,2.77,157442.85,56891.89
2021-3-12 2:23,56903.8,56923.37,56852.2,56901.39792,1.01,57525.57,56886.2
2021-3-12 2:24,56855.83,56855.83,56747.01,56901.64387,11.88,674746.17,56792.99
2021-3-12 2:25,56781,56856.41,56742.22,56902.10808,5.56,315843.73,56830.92
2021-3-12 2:26,56723.03,56791.29,56703.2,56902.78464,2.68,151844.34,56729.4
2021-3-12 2:27,56793.82,56855.44,56793.82,56903.66647,3.41,193733.53,56807
2021-3-12 2:28,56855.72,56858.74,56798.67,56904.74562,0.6,34332.21,56816.14
2021-3-12 2:29,56816.5,56844.88,56797.64,56906.01377,0.77,43501.71,56828.62
2021-3-12 2:30,56795.81,56799.25,56738.4,56907.46181,1.23,70056.16,56751.72
2021-3-12 2:31,56760.28,56829.82,56754.55,56909.08015,0.82,46450.7,56794.46
2021-3-12 2:32,56823.15,56961.89,56823.15,56910.85793,11.45,651924.35,56927.38
2021-3-12 2:33,56963.37,56993.91,56927.92,56912.78353,0.94,53690.77,56962.14
2021-3-12 2:34,56903.19,56970.79,56903.19,56914.84578,0.53,30216.12,56948.4
2021-3-12 2:35,57001,57032.6,56953.84,56917.03358,3.28,186728.59,56963.83
2021-3-12 2:36,57000,57019.32,56974.46,56919.3362,0.63,35739.25,56995.21
2021-3-12 2:37,57010.55,57017.28,56933.24,56921.74354,2.52,143506.88,56964.47
2021-3-12 2:38,56989.98,57030.77,56983.29,56924.24617,1.09,61888.74,57005.74
2021-3-12 2:39,56981.72,57035.68,56981.72,56926.83518,1.27,72532.75,56998.64
2021-3-12 2:40,56957.96,57014.59,56932.9,56929.50223,6.02,343078.25,56990.09
2021-3-12 2:41,56952.16,57027.01,56949.24,56932.23971,4,227738.45,57002.15
2021-3-12 2:42,57008.71,57037.17,56958.31,56935.04012,1.38,78891.68,56980.85
2021-3-12 2:43,56971.61,56997.66,56890.03,56937.89654,0.54,30927.26,56960.5
2021-3-12 2:44,56948.38,56971.88,56889.54,56940.80224,1.4,79771.57,56910.29
2021-3-12 2:45,56909.85,56909.85,56826.92,56943.75011,2.81,159786.95,56854.14
2021-3-12 2:46,56871.71,56904.48,56856.04,56946.73277,1.22,69218.38,56875.53
2021-3-12 2:47,56932.5,56977.86,56932.5,56949.74195,1.34,76384.05,56946.16
2021-3-12 2:48,56992.59,57007.51,56992.59,56952.76906,1.85,105658.25,57007.43
2021-3-12 2:49,57007.51,57082.7,57007.51,56955.80547,3.21,183325,57028.72
2021-3-12 2:50,57082.15,57082.15,57044.79,56958.84299,0.49,27898.04,57060.09
2021-3-12 2:51,57049.4,57085.19,57049.4,56961.87441,0.89,50867.5,57080.81
2021-3-12 2:52,57075.2,57075.2,57058.62,56964.89316,0.16,9226.69,57058.62
2021-3-12 2:53,57027.55,57031.71,57023.7,56967.89365,2.44,139086.48,57027.49
2021-3-12 2:54,57058.13,57058.13,56994.39,56970.871,0.94,53860.64,57007.97
2021-3-12 2:55,57021.3,57037.32,56992.22,56973.82083,2.27,129469.84,57011.45
2021-3-12 2:56,56997.72,57042.17,56978.79,56976.73899,0.6,34324.09,57007.42
2021-3-12 2:57,56983.98,57045.44,56982.6,56979.62158,6.73,383973.62,57012.99
2021-3-12 2:58,56991.49,57009.39,56950.34,56982.46471,5.15,293625.03,56970.81
2021-3-12 2:59,56943.71,56990.12,56943.71,56985.2646,4.38,249399.78,56970.03
2021-3-12 3:00,56971.91,56973.44,56925.75,56988.01723,1.81,103327.42,56942.33
2021-3-12 3:01,56964.68,57022.49,56964.68,56990.7185,2.43,138326.5,56983.62
2021-3-12 3:02,57059.37,57078.31,57059.37,56993.36388,1.83,104206.9,57067.84
2021-3-12 3:03,57072.21,57072.27,57025.37,56995.94911,0.76,43399.8,57038.44
2021-3-12 3:04,57023.41,57033.47,56984.43,56998.47057,14.9,849560.92,57016.69
2021-3-12 3:05,57045.45,57068.14,57045.45,57000.92486,2.39,136182.07,57058.3
2021-3-12 3:06,57089.96,57089.96,57053.56,57003.30886,0.84,47794.49,57078.14
2021-3-12 3:07,57019.21,57059.98,57019.21,57005.61998,3.52,200768.82,57042.39
2021-3-12 3:08,57050.22,57061.62,57050.22,57007.85605,0.08,4458.82,57055.24
2021-3-12 3:09,57068.02,57092.47,57064.26,57010.0152,1.36,77556.38,57069.49
2021-3-12 3:10,57082.66,57090.82,57025.33,57012.09597,1.38,78552.9,57067.33
2021-3-12 3:11,57084.77,57084.77,57005.39,57014.09731,1.4,79807.47,57029.17
2021-3-12 3:12,57000,57000,56940.28,57016.01828,5.44,309780.54,56960.55
2021-3-12 3:13,56962.63,56962.63,56910.11,57017.85787,0.71,40563.54,56913.02
2021-3-12 3:14,56922.67,56958.72,56922.67,57019.6147,1.68,95580.75,56947.33
2021-3-12 3:15,56918.09,56960.21,56915.71,57021.28664,3.87,220389.41,56938.91
2021-3-12 3:16,56926.71,56944.86,56870,57022.87111,0.12,6551.38,56911.4
2021-3-12 3:17,56873.53,56873.91,56836.95,57024.36493,1.31,74468.54,56869.65
2021-3-12 3:18,56875.39,56931.1,56875.39,57025.76377,0.62,35490.94,56891.31
2021-3-12 3:19,56892.29,56930.44,56830.13,57027.06216,1.49,84978.97,56907.28
2021-3-12 3:20,56840.33,56878.14,56823.65,57028.25377,1.13,64532.69,56859.76
2021-3-12 3:21,56891.28,56891.28,56847.78,57029.33072,1.98,112842.83,56854.43
2021-3-12 3:22,56899.72,56956.8,56899.72,57030.28402,3.18,180838.27,56927.35
2021-3-12 3:23,56946.64,56970.82,56940.43,57031.10355,0.21,12236.12,56950.82
2021-3-12 3:24,56970.82,56999.43,56970.82,57031.77866,2.11,119960.57,56983.91
2021-3-12 3:25,57008.96,57085.87,57008.96,57032.29822,4.02,229477.14,57056.36
2021-3-12 3:26,57097.02,57152.92,57097.02,57032.65085,6.87,392787.75,57133.3
2021-3-12 3:27,57142.79,57154.15,57130.3,57032.82559,0.54,30868.49,57142.29
2021-3-12 3:28,57114.41,57115.73,57081.98,57032.81236,1.92,109429.1,57106.34
2021-3-12 3:29,57123.3,57128.32,57103.19,57032.60182,0.57,32367.66,57125.12
2021-3-12 3:30,57112.55,57181.67,57112.55,57032.18527,0.18,10097.33,57168.49
2021-3-12 3:31,57181.32,57181.32,57146.64,57031.55456,2.05,117008.63,57158.87
2021-3-12 3:32,57156.61,57168.3,57138.17,57030.70271,0.46,26003.36,57138.67
2021-3-12 3:33,57110.17,57169.93,57110.17,57029.62358,0.56,32264.7,57162.12
2021-3-12 3:34,57177.1,57177.11,57154.24,57028.31191,1.07,61016.4,57175.73
2021-3-12 3:35,57137.75,57140.56,57131.66,57026.7635,1.55,88843,57135.91
2021-3-12 3:36,57122.97,57135.37,57122.97,57024.97511,1.91,108894.91,57127.99
2021-3-12 3:37,57138.3,57189.25,57138.3,57022.94439,4.53,259021.62,57157.09
2021-3-12 3:38,57189.34,57298.27,57189.34,57020.66986,4.64,265770.25,57238.65
2021-3-12 3:39,57159.06,57159.06,57095.03,57018.15129,0.88,50073.32,57116.04
2021-3-12 3:40,57110.38,57182.91,57110.38,57015.39022,2.64,150712.26,57146.69
2021-3-12 3:41,57144.56,57144.56,57123.48,57012.3888,0.49,27951.18,57123.55
2021-3-12 3:42,57122.96,57152.19,57122.96,57009.15023,1.63,93074.85,57140.94
2021-3-12 3:43,57135.07,57135.07,57085.01,57005.67872,1.11,63485.56,57087.86
2021-3-12 3:44,57064.51,57064.51,57001.5,57001.97959,0.45,25881.87,57049.46
2021-3-12 3:45,57028.89,57045.41,57024.7,56998.05877,0.94,53657.92,57030.83
2021-3-12 3:46,57013.87,57013.87,56954.8,56993.9222,0.05,2587.48,56970.48
2021-3-12 3:47,56964.93,56964.94,56893.25,56989.57607,2.25,128172.04,56923.3
2021-3-12 3:48,56937.93,56937.93,56937.93,56985.02628,0.48,27518.92,56937.93
2021-3-12 3:49,56923.57,56964.93,56923.57,56980.27827,0.63,36132.8,56927.13
2021-3-12 3:50,56929.14,56929.14,56903.35,56975.33712,2.45,139623.06,56912.84
2021-3-12 3:51,56907.02,56920,56870.9,56970.20778,1.03,58608.54,56910
2021-3-12 3:52,56885.38,56910.06,56885.38,56964.89481,0.61,34952.36,56905.29
2021-3-12 3:53,56886.42,56915.43,56886.42,56959.40197,0.42,23968.8,56887.9
2021-3-12 3:54,56905.48,56965.07,56905.48,56953.73258,1.1,62792.61,56936.76
2021-3-12 3:55,56958.42,57046.13,56958.42,56947.88966,4.93,280865.46,57002.44
2021-3-12 3:56,57057.94,57057.94,57008.02,56941.87617,0.01,676.66,57037.94
2021-3-12 3:57,56970.7,56970.7,56923.49,56935.69588,1.18,67478.79,56950.05
2021-3-12 3:58,57002.59,57061.57,57002.59,56929.35304,1.7,97013.26,57037.39
2021-3-12 3:59,57116.74,57116.74,57076.05,56922.852,0.81,46111.67,57089.7
2021-3-12 4:00,57129,57189.48,57129,56916.19813,1.54,88209.36,57157.76
2021-3-12 4:01,57176.45,57192.2,57141.37,56909.39814,1.74,99615.95,57163.05
2021-3-12 4:02,57138.35,57223.11,57138.35,56902.46081,2.61,149139.85,57175.24
2021-3-12 4:03,57174.01,57189.67,57148.23,56895.39712,2.52,143937.24,57161.32
2021-3-12 4:04,57159.46,57159.46,57138.97,56888.22033,1.65,94196.26,57149.5
2021-3-12 4:05,57134.12,57139.81,57062.39,56880.94563,0.43,24505.53,57072.31
2021-3-12 4:06,57065.29,57076.22,56972.4,56873.59021,1.65,94208.92,57003.21
2021-3-12 4:07,56994.29,56998.65,56843.16,56866.17268,5.01,285290.82,56908.59
2021-3-12 4:08,56875.12,56898.18,56840.55,56858.71242,2.8,159284.99,56877.44
2021-3-12 4:09,56895.14,56918.38,56886.15,56851.2289,1.54,87366.62,56901.38
2021-3-12 4:10,56912.46,56912.46,56835.53,56843.7416,4.99,283870.2,56885.19
2021-3-12 4:11,56829.87,56863.79,56747.7,56836.27045,1.97,112150.56,56809.6
2021-3-12 4:12,56781.54,56796.2,56677.25,56828.83529,4.77,270238.47,56709.59
2021-3-12 4:13,56729.39,56729.5,56509.2,56821.45544,8.16,462096.69,56599.54
2021-3-12 4:14,56630.27,56745.3,56630.27,56814.14939,0.53,30001.99,56729.33
2021-3-12 4:15,56723.88,56730.75,56624.88,56806.93428,5.42,306927.6,56680.22
2021-3-12 4:16,56646.45,56695.53,56630.32,56799.82658,2.26,128301.88,56645.6
2021-3-12 4:17,56683.52,56710.13,56683.14,56792.84149,3.18,180128.38,56687.74
2021-3-12 4:18,56629.01,56663.47,56629.01,56785.99339,0.51,28808.44,56660.95
2021-3-12 4:19,56704.8,56770.79,56697.8,56779.29593,0.88,49770.17,56727.7
2021-3-12 4:20,56725.78,56725.78,56710.84,56772.76181,2.08,118106.4,56718.81
2021-3-12 4:21,56708.52,56713.76,56596.94,56766.40364,14.17,802300.33,56627.12
2021-3-12 4:22,56602.59,56623,56548.83,56760.23363,11.48,649587.46,56587.41
2021-3-12 4:23,56528.25,56602.12,56430.4,56754.26287,20.56,1161757.97,56501.65
