TradingDate,close,open,high,low,chg
2020-9-22,10531.5,10419.4,10570.7,10361.7,0.011
2020-9-23,10237.3,10531.5,10535.4,10146.6,-0.0279
2020-9-24,10739.4,10238.1,10787.8,10201,0.049
2020-9-25,10688.8,10739.9,10756,10558.9,-0.0047
2020-9-26,10727.9,10688.9,10793.3,10650.2,0.0037
2020-9-27,10776.2,10727.9,10799.2,10602.7,0.0045
2020-9-28,10693.2,10776.4,10946.6,10685.2,-0.0077
2020-9-29,10840.9,10694.3,10858.4,10642.4,0.0138
2020-9-30,10776.1,10843.4,10847.7,10667.6,-0.006
2020-10-1,10620.5,10776.6,10913.7,10462.7,-0.0144
2020-10-2,10572.3,10619.6,10662.9,10387.6,-0.0045
2020-10-3,10544.2,10572.2,10597.8,10501.2,-0.0027
2020-10-4,10672.9,10544.4,10693.3,10520.8,0.0122
2020-10-5,10789.5,10672.5,10789.6,10623.4,0.0109
2020-10-6,10602.6,10790.2,10800.3,10530.8,-0.0173
2020-10-7,10670.9,10601,10680.1,10553.3,0.0064
2020-10-8,10924.1,10670.7,10948.6,10549.6,0.0237
2020-10-9,11054.2,10923.5,11103,10836.9,0.0119
2020-10-10,11298.4,11053.5,11475,11053.1,0.0221
2020-10-11,11371,11295.6,11439.4,11277.6,0.0064
2020-10-12,11533.9,11370.8,11715.9,11227.4,0.0143
2020-10-13,11423.8,11533.5,11558,11315.9,-0.0095
2020-10-14,11420.4,11424.4,11541,11293.5,-0.0003
2020-10-15,11503,11421.4,11590.9,11276.7,0.0072
2020-10-16,11322,11503.2,11542.2,11224.6,-0.0157
2020-10-17,11362.1,11321.8,11402.7,11274.4,0.0035
2020-10-18,11506.9,11362.1,11506.9,11349.8,0.0127
2020-10-19,11753.4,11507.1,11823.3,11413.9,0.0214
2020-10-20,11913.5,11753.9,12029.4,11685.7,0.0136
2020-10-21,12808.7,11913.6,13213.5,11894.6,0.0751
2020-10-22,12974.6,12805.5,13183.9,12698.2,0.013
2020-10-23,12934.1,12972.7,13025.5,12738.9,-0.0031
2020-10-24,13117.2,12933.6,13161.5,12876.4,0.0142
2020-10-25,13032.2,13117,13345.3,12900.4,-0.0065
