TradingDate,Y1,Y2,Y3,change
2000-3-3,5.502132419,-7.291930421,-1.491441566,9.307973109
2000-3-6,5.487223355,-7.229334092,-1.496920765,9.247140033
2000-3-7,5.472319917,-7.166735516,-1.502395751,9.186307819
2000-3-8,5.457418459,-7.104137012,-1.507865547,9.125476365
2000-3-9,5.44251609,-7.041542582,-1.513324693,9.064646411
2000-3-10,5.427610999,-6.978958251,-1.518763268,9.003820033
2000-3-13,5.412698233,-6.916394302,-1.524169528,8.94300035
2000-3-14,5.397767092,-6.853866948,-1.529531951,8.882191874
2000-3-15,5.382809739,-6.791394918,-1.5348334,8.821401892
2000-3-16,5.367812397,-6.729003774,-1.540057183,8.760639805
2000-3-17,5.352760297,-6.666724805,-1.545183095,8.699918307
2000-3-20,5.337632171,-6.604597786,-1.550191858,8.639253432
2000-3-21,5.322408527,-6.542668215,-1.55505861,8.578665946
2000-3-22,5.307073917,-6.480985759,-1.559752302,8.518181498
2000-3-23,5.291610877,-6.419607656,-1.564239447,8.457830158
2000-3-24,5.276005452,-6.358596695,-1.56848152,8.397647771
2000-3-27,5.260249979,-6.298019788,-1.572434672,8.337676649
2000-3-28,5.244331111,-6.237954039,-1.57605651,8.277964464
2000-3-29,5.228246068,-6.178467855,-1.579299199,8.218559775
2000-3-30,5.212009275,-6.119611569,-1.58211672,8.159513783
2000-3-31,5.195629959,-6.061423136,-1.58447604,8.100870082
2000-4-3,5.1791291,-6.003924766,-1.586343099,8.042671086
2000-4-4,5.162543794,-5.947121684,-1.5876852,7.984961746
2000-4-5,5.145907454,-5.891003403,-1.588484412,7.92777957
2000-4-6,5.129248138,-5.835545686,-1.588735869,7.871153957
2000-4-7,5.112603117,-5.780709487,-1.588435482,7.815112317
2000-4-10,5.096018606,-5.726440318,-1.587582576,7.759680271
2000-4-11,5.079537616,-5.672669839,-1.586188998,7.704876749
2000-4-12,5.063201311,-5.619316809,-1.584276518,7.650714416
2000-4-13,5.047045838,-5.56628911,-1.581877558,7.59719916
